id,jer_sent,ela_sent,kra_sent,geo_sent,jer_lines,ela_lines,kra_lines,geo_lines,location,rating
S01E01,0.0626,0.0265,-0.0468,0.0638,250,53,7,98,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MICHIGAN', 'Queens', 'Queens']",7.6
S01E02,0.0182,0.0638,0.1067,0.0573,110,57,18,68,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'MARYLAND', 'MARYLAND', 'MASSACHUSETTS', 'CONNECTICUT']",7.7
S01E03,0.0354,0.0053,0.0388,-0.0078,102,19,24,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM']",7.6
S01E04,0.0412,-0.0092,0.0205,-0.017,102,29,18,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '4 Pennsylvania Pl', 'EUROPE', 'GERMANY']",7.4
S02E01,0.0212,0.0037,0.0809,0.0116,107,23,37,55,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Elaine’s Apartment']",7.7
S02E02,0.0167,-0.0273,0.006999999999999999,-0.11800000000000001,90,31,23,12,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'Kramer’s Apartment', 'Central Park', 'NEW YORK', 'FLORIDA', 'Brooklyn', 'ARIZONA', 'NEW JERSEY']",8.0
S02E03,-0.0323,0.0384,0.0981,0.002,97,33,35,53,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'SOUTH KOREA', 'Pendant Publishing', 'MARYLAND']",8.4
S02E04,0.0737,0.1449,0.1126,0.0179,92,15,9,89,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '350 Fifth Ave', 'UNITED KINGDOM', 'Long Island']",8.5
S02E05,0.0406,0.0201,0.0763,-0.0055,102,51,29,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'MICHIGAN', 'NORWAY', '4 Pennsylvania Pl']",7.9
S02E06,0.0695,0.0408,0.0087,-0.018000000000000002,87,41,30,56,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'CALIFORNIA', 'Pendant Publishing']",8.1
S02E07,0.0575,0.0363,-0.0011,0.0547,83,22,32,83,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW YORK']",8.4
S02E08,0.0494,-0.0241,0.0324,0.0484,60,18,18,59,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Brooklyn', 'OHIO', 'TEXAS']",8.0
S02E09,0.0307,0.0781,0.1167,0.0187,134,82,19,52,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'Elaine’s Apartment', 'VERMONT']",8.3
S02E10,0.0103,-0.0011,0.0186,-0.0247,75,40,29,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MASSACHUSETTS', 'Brooklyn', 'Elaine’s Apartment', 'CONNECTICUT', 'NEW YORK', 'Queens', 'MASSACHUSETTS', 'NEW JERSEY', 'Jerry’s Apartment', 'MASSACHUSETTS']",7.6
S02E11,0.0396,0.01,,0.0178,75,60,0,48,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', '323 Fifth Ave', 'MASSACHUSETTS', 'Long Island', 'Florida', 'Pines Of Mar Gables', 'Long Island', 'Florida']",8.7
S02E12,-0.0169,-0.0233,-0.0059,0.0342,57,50,23,49,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'WASHINGTON', 'WASHINGTON', 'Queens', 'ILLINOIS', 'TEXAS', 'Elaine’s Apartment']",7.8
S03E01,0.0371,-0.0103,0.1109,0.017,108,45,24,91,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'WASHINGTON', 'WASHINGTON', 'Queens', 'ILLINOIS', 'TEXAS', 'Elaine’s Apartment']",8.3
S03E02,0.0548,0.053,0.081,0.0364,78,52,32,68,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'SOUTH KOREA']",7.8
S03E03,0.0531,0.0348,,,107,41,0,0,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Queens', 'AFRICA']",8.3
S03E04,-0.0226,0.0895,0.0731,0.0298,93,68,21,53,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Pines Of Mar Gables', 'FLORIDA']",7.3
S03E05,0.0313,-0.07200000000000001,0.0401,0.0068,74,26,33,37,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ILLINOIS', 'ILLINOIS']",8.7
S03E06,0.0244,0.0131,-0.0182,0.0224,73,59,51,65,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Bronx', 'Long Island', 'Kramer’s Apartment', 'Brooklyn']",8.9
S03E07,0.0632,0.0305,-0.0,0.047,92,80,30,77,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW JERSEY', 'George’s Apartment', 'EUROPE', 'ILLINOIS', 'CHINA']",8.5
S03E08,0.0306,0.0808,0.0185,0.0414,107,49,45,99,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Queens']",8.8
S03E09,0.0836,0.0879,0.0989,0.1087,47,41,35,69,"['China', 'The Improv', 'Jerry’s Apartment', 'China', 'Monk’s Café', 'CHINA', 'ITALY', 'Elaine’s Apartment', 'UNITED KINGDOM']",8.1
S03E10,0.0605,0.0542,0.0684,0.0426,121,34,14,76,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM', 'MARYLAND', 'CALIFORNIA', 'Elaine’s Apartment', 'Long Island', 'HAWAII']",7.6
S03E11,0.051,0.0572,0.0324,-0.01,113,59,50,40,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW JERSEY', 'NEW YORK', 'Long Island', 'Pendant Publishing', 'Long Island', 'EUROPE']",8.4
S03E12,0.052000000000000005,0.0001,0.0399,0.0547,90,60,8,86,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café']",8.5
S03E13,0.0282,0.0302,0.0957,-0.0321,33,24,16,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Liberty Island', 'France', 'FRANCE', 'Greenwich Village']",8.8
S03E14,0.064,0.0746,0.08,0.0672,79,36,27,75,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Brooklyn', 'Brooklyn', 'Brooklyn']",8.5
S03E15,0.0261,-0.0222,0.0857,0.0258,111,26,46,55,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA']",7.7
S03E16,0.0909,0.0352,-0.0208,0.0361,99,80,16,69,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Greenwich Village']",8.5
S03E17,0.0461,0.0192,0.0474,0.0312,114,44,35,63,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Elaine’s Apartment', 'NEW JERSEY', 'George’s Apartment']",8.9
S03E18,0.1077,0.0799,0.0938,0.0762,53,34,32,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '5 W. 63rd St', 'Queens', 'Elaine’s Apartment', 'TENNESSEE']",8.7
S03E19,0.0159,0.0158,0.013999999999999999,0.0371,68,31,30,84,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Queens', 'Queens', 'ILLINOIS', '4 Pennsylvania Pl', 'Queens', '4 Pennsylvania Pl']",9.0
S03E20,0.0415,0.048,0.0542,0.0584,107,77,28,58,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Elaine’s Apartment', 'Queens', 'UNITED KINGDOM', 'SWITZERLAND', 'NEW YORK', 'George’s Apartment']",8.1
S03E21,0.0869,0.0568,0.1364,0.0638,65,54,32,55,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Yankee Stadium', 'MARYLAND', 'PENNSYLVANIA', 'MARYLAND', 'Pendant Publishing', 'TEXAS', 'SWEDEN']",8.0
S03E22,0.0382,0.0252,0.0564,0.0428,85,63,58,96,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW YORK']",8.4
S03E23,-0.0157,0.0126,0.0546,0.0014,84,33,56,62,"['The Improv', 'Jerry’s Apartment', 'California', 'Monk’s Café', 'CALIFORNIA', 'Elaine’s Apartment', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']",8.5
S04E01,0.0909,,0.1871,0.095,62,0,38,79,"['Jerry’s Apartment', 'Monk’s Café', 'SPAIN', 'SPAIN', 'SPAIN', 'ARIZONA', 'SPAIN', 'SPAIN', 'SPAIN', 'SPAIN', 'SOUTH KOREA', 'GREECE', 'GREECE', 'SPAIN']",8.2
S04E02,0.0248,,0.081,0.006999999999999999,90,0,34,83,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'Queens', 'ILLINOIS', 'Liberty Island', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'MASSACHUSETTS', 'CALIFORNIA', 'CALIFORNIA', 'UNITED KINGDOM', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']",8.4
S04E03,0.0681,0.0911,0.0015,0.0483,151,3,38,100,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'UNITED KINGDOM', 'NEW JERSEY', '30 Rockefeller Pl', 'FRANCE', 'Kramer’s Apartment', 'NEW YORK', 'ITALY', 'NEVADA']",8.7
S04E04,0.0558,0.0911,-0.02,0.069,110,3,60,81,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'UNITED KINGDOM', 'NEW JERSEY', '30 Rockefeller Pl', 'FRANCE', 'Kramer’s Apartment', 'NEW YORK', 'ITALY', 'NEVADA']",8.4
S04E05,0.0093,0.0464,0.0674,0.069,91,45,36,36,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Queens', 'Queens', 'Kramer’s Apartment', 'FLORIDA', 'CALIFORNIA', '75 W. 68th St']",8.1
S04E06,0.0438,0.0767,0.1757,0.0933,72,29,47,51,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '75 W. 68th St', 'Kramer’s Apartment', '1125 Park Ave', 'The Chicken Roaster']",8.2
S04E07,0.0542,0.0412,0.0798,0.0306,100,46,24,68,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'NEW YORK', 'NEW YORK', 'Queens', 'NEW YORK', 'NEW YORK', 'NEW YORK', 'SPAIN', 'NEW YORK']",8.8
S04E08,0.0467,0.0206,0.1336,0.0725,102,27,27,88,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'NEW YORK', '24 Fifth Ave', 'NEW YORK']",8.6
S04E09,0.0115,0.0415,0.10800000000000001,0.1138,94,48,55,36,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '30 Rockefeller Pl', 'ITALY', 'Central Park', 'Queens', 'PENNSYLVANIA']",8.3
S04E10,0.0196,0.0539,0.0008,0.019,118,24,34,76,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'GERMANY', '30 Rockefeller Pl', 'CALIFORNIA', 'MARYLAND', 'Kramer’s Apartment']",8.3
S04E11,0.0744,0.009000000000000001,0.079,0.0386,91,66,29,77,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Costanza House', '4 Pennsylvania Pl', 'ILLINOIS', '24 E. 13th St', 'George’s Apartment', 'Elaine’s Apartment', 'Kramer’s Apartment']",9.6
S04E12,0.0998,0.0486,0.0645,0.043,53,50,33,37,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'MISSOURI', 'MISSOURI', 'MISSOURI', 'Queens', 'HAWAII', 'Queens', 'Long Island', 'ITALY', 'CALIFORNIA']",9.0
S04E13,0.0444,0.0264,0.0444,0.0595,79,46,50,50,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Kramer’s Apartment', 'Elaine’s Apartment', 'Pendant Publishing']",8.6
S04E14,0.005,-0.0166,0.1115,0.10099999999999999,35,56,15,43,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', '2310 Broadway', 'The Butter Shave', 'Brooklyn', 'Brooklyn', 'ITALY', 'BELARUS']",8.2
S04E15,0.1004,0.121,0.0905,0.0717,102,59,18,57,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FLORIDA', 'Liberty Island']",8.2
S04E16,0.071,0.0232,0.0964,0.0775,88,36,23,57,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '5 W. 63rd St', '1125 Park Ave', 'The Chicken Roaster', '350 Fifth Ave']",8.3
S04E17,0.0105,0.0008,-0.0247,0.0052,64,16,12,66,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'GERMANY', 'Bronx', 'Pines Of Mar Gables', '1000 Tenth Ave', 'Costanza House']",9.4
S04E18,0.0741,0.0798,0.0188,0.1034,62,28,34,34,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FLORIDA', 'SOUTH AMERICA']",8.2
S04E19,0.057,0.0035,0.0723,-0.0011,77,44,35,34,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'RUSSIA', '24 E. 13th St', 'CALIFORNIA', 'MICHIGAN', 'CALIFORNIA', 'Queens', 'MICHIGAN']",8.7
S04E20,0.0581,0.0692,0.1016,0.0729,144,42,58,68,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'Brooklyn', 'Kramer’s Apartment', '1000 Tenth Ave', 'PENNSYLVANIA', 'George’s Apartment']",8.8
S04E21,-0.0225,-0.0106,0.1296,0.0716,65,35,13,57,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ITALY', 'BELARUS']",8.5
S04E22,0.1113,0.1121,0.0856,0.0061,81,58,51,73,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Long Island', 'Costanza House', 'Long Island', 'Long Island', 'ILLINOIS']",8.4
S04E23,0.0479,0.0261,0.1081,0.0165,87,44,31,50,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '30 Rockefeller Pl', 'Central Park', 'Monk’s Café', 'NEW JERSEY', 'PENNSYLVANIA', 'Pines Of Mar Gables', 'Long Island', 'NEW YORK', 'Newman’s Apartment', 'Pendant Publishing']",8.7
S04E24,0.042,0.0949,-0.0395,0.0628,76,28,12,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '30 Rockefeller Pl', 'Central Park', 'Monk’s Café', 'NEW JERSEY', 'PENNSYLVANIA', 'Pines Of Mar Gables', 'Long Island', 'NEW YORK', 'Newman’s Apartment', 'Pendant Publishing']",8.7
S05E01,0.0452,0.0057,0.0797,0.0715,133,69,47,64,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', '75 W. 68th St', '182 Columbus Ave', 'Elaine’s Apartment', 'Queens']",8.7
S05E02,0.07,0.1415,0.1533,0.0304,71,25,48,67,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Kramer’s Apartment', 'Costanza House', '182 Columbus Ave', 'NEW JERSEY', '30 Rockefeller Pl', 'Central Park']",9.0
S05E03,0.03,-0.033,0.0494,0.0706,96,47,39,72,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '1000 Tenth Ave', 'NEW YORK', 'NEW YORK', 'NEW YORK', '24 E. 13th St']",8.5
S05E04,0.0246,0.10400000000000001,0.0816,0.113,80,61,49,32,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Costanza House', 'Elaine’s Apartment', 'SOUTH AMERICA', 'Pendant Publishing']",8.2
S05E05,0.0325,0.0763,-0.004,0.0564,70,44,46,43,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '1000 Tenth Ave']",8.2
S05E06,0.086,0.0626,0.1225,0.0663,79,33,42,75,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'France', 'Pendant Publishing', '323 Fifth Ave', '4 Pennsylvania Pl']",8.6
S05E07,0.0507,0.0484,0.0875,0.07200000000000001,74,63,47,55,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Queens', 'Costanza House', 'Pendant Publishing']",8.6
S05E08,0.0374,0.0871,0.0307,0.1324,76,27,35,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens']",8.4
S05E09,0.0502,0.0739,0.0246,0.0722,97,57,29,64,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', '75 W. 68th St', '323 Fifth Ave', 'Elaine’s Apartment', 'NEW JERSEY', 'SWEDEN']",7.9
S05E10,0.0792,0.0359,0.1242,0.0813,80,60,37,44,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Costanza House', 'Queens', 'Queens', 'Elaine’s Apartment', '4 Pennsylvania Pl', 'Pendant Publishing', 'Pendant Publishing']",8.5
S05E11,0.0237,0.0824,0.0724,0.0533,76,38,34,60,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '75 W. 68th St', 'Newman’s Apartment', 'Brooklyn', 'Elaine’s Apartment', 'Costanza House', 'Brooklyn', 'Elaine’s Apartment', 'Kramer’s Apartment', 'Central Park']",8.2
S05E12,0.0577,0.0543,0.0429,0.1149,94,80,56,48,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA', 'Elaine’s Apartment', '5 W. 63rd St']",8.7
S05E13,0.0525,0.0263,0.0492,0.0094,75,92,59,80,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '237 W. 72nd St']",8.4
S05E14,0.102,0.1034,0.0881,0.0912,106,75,33,53,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'Queens', 'Queens', 'Costanza House', 'RUSSIA', 'Kramer’s Apartment', 'MASSACHUSETTS']",9.3
S05E15,0.0454,0.0047,0.0722,0.0131,77,45,36,53,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'EUROPE', 'Pendant Publishing', '182 Columbus Ave', 'ILLINOIS']",8.6
S05E17,0.0812,0.1009,0.0437,0.0148,91,58,24,25,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '24 E. 13th St', 'Central Park', 'Pines Of Mar Gables']",8.1
S05E18,0.0499,0.1047,0.057,0.0882,149,44,72,100,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FRANCE', 'FLORIDA', 'Costanza House', 'Elaine’s Apartment', 'FRANCE', 'Pines Of Mar Gables', 'Pendant Publishing', 'Central Park', '1987 Broadway', 'Queens']",8.5
S05E20,0.0684,0.0904,0.1626,0.0614,71,26,34,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Costanza House', 'FLORIDA']",8.7
S05E21,0.0215,0.1509,0.0797,0.0711,79,48,38,67,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Long Island', 'Long Island', 'Long Island', 'FLORIDA', 'Long Island', 'Long Island', 'Long Island']",9.1
S05E22,0.0501,0.0325,0.1033,0.1014,65,60,24,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA', 'Pendant Publishing', '1987 Broadway', 'Yankee Stadium', 'Elaine’s Apartment', 'CANADA', 'Costanza House', 'George’s Apartment']",9.6
S06E01,0.0344,0.1267,0.0141,0.03,67,39,42,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', 'CONNECTICUT', 'Rhode Island', 'Rhode Island', 'NEW JERSEY', 'Rhode Island', 'TEXAS', 'Rhode Island', '1535 Broadway', 'Rhode Island', '640 West End Ave', 'NEW JERSEY']",8.1
S06E02,-0.0009,0.064,0.013000000000000001,0.0945,89,59,27,40,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Newman’s Apartment', 'Bronx', 'CALIFORNIA', 'NEW JERSEY', 'California', 'NEW JERSEY']",8.3
S06E03,0.0817,0.0595,0.1083,0.0619,97,53,39,36,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '640 West End Ave', 'Yankee Stadium', 'CALIFORNIA']",8.3
S06E04,0.0308,0.0252,0.028999999999999998,0.0184,91,69,43,39,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CHINA', 'China', 'Elaine’s Apartment', 'Queens', 'Queens', 'Brooklyn', 'Costanza House', 'Long Island', 'Queens', 'Kramer’s Apartment']",8.3
S06E05,0.0779,0.0865,0.083,0.0839,77,56,37,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ITALY', 'George’s Apartment', '525 E. 68th St', 'CANADA', 'Elaine’s Apartment']",8.2
S06E06,0.05,0.052000000000000005,0.0632,0.0548,81,44,46,42,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '640 West End Ave', 'Pendant Publishing', 'Kramer’s Apartment', '4 Pennsylvania Pl']",8.3
S06E07,0.0466,0.1149,0.0887,0.0655,133,51,38,68,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM', 'Kramer’s Apartment', 'Central Park', 'NEW YORK', 'Monk’s Café', '1000 Third Ave', 'Monk’s Café']",8.3
S06E08,0.051,0.0422,0.027000000000000003,0.0619,76,31,46,54,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '640 West End Ave', '350 Fifth Ave', 'NEW JERSEY', 'TEXAS', 'Yankee Stadium', 'NEW JERSEY']",8.2
S06E09,0.062,0.1216,0.0851,0.1256,92,44,51,45,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'Yankee Stadium', 'CALIFORNIA', 'TEXAS', '2310 Broadway', 'OHIO']",8.2
S06E10,0.0423,0.1009,0.1064,0.0945,62,45,30,50,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '350 Fifth Ave', 'Elaine’s Apartment', 'CHINA', 'Cuba', 'CUBA', 'China', 'Yankee Stadium', 'Cuba', 'Bronx', 'Monk’s Café', 'Cuba', 'HAWAII', 'CUBA']",9.0
S06E11,0.0661,0.0185,0.0256,0.0868,74,51,41,81,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MARYLAND', 'Newman’s Apartment']",9.0
S06E12,0.1169,0.1274,0.0513,0.1182,112,42,28,72,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FLORIDA', 'CANADA', 'SWITZERLAND', 'AFRICA', 'FLORIDA', 'SOUTH AMERICA', 'EUROPE']",8.7
S06E13,0.0367,0.0099,0.0855,0.0575,77,41,42,93,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Monk’s Café', 'FLORIDA', '1535 Broadway']",8.2
